id,title,primarycontents,secondarycontents,date,place
edanmdm-siris_arc_399090,This Was the Time 1970,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398683,Indian America 1975,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398681,Kainai 1973,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_399091,Greenlanders 1973,Archival materials,Motion pictures (visual works),1970s,Europe
edanmdm-siris_arc_398761,The Hopi Way 1972,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398713,Totems 1962,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_398727,Native American Myths 1976,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398758,Myths and the Moundbuilder 1981,Archival materials,Motion pictures (visual works),1980s,North America
edanmdm-siris_arc_398722,Shelly Whitebird's First Powwow 1977,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398724,Our Native American Friends 1970,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398712,Colors of Pride 1973,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_399073,Fox and Bear 1980,Archival materials,Motion pictures (visual works),1980s,North America
edanmdm-siris_arc_399075,Quingalik and the Sea 1976,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398703,Our Totem is the Raven 1971,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_399085,Haa Shagoon 1983,Archival materials,Motion pictures (visual works),1980s,North America
edanmdm-siris_arc_399076,The Hungry Walrus ca. 1970s,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398678,Tahonka 1961,Archival materials,Motion pictures (visual works),1890s,North America
edanmdm-siris_arc_399081,The Apache Indians ca. 1970s,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398704,Minority Youth: Adam 1971,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398684,Those Who Sing Together 1977,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398690,Noah 1973,Archival materials,Motion pictures (visual works),1970s, North America
edanmdm-siris_arc_399082,The Legend of the Magic Knives 1971,Archival materials,Motion pictures (visual works),1970s, North America
edanmdm-siris_arc_398764,Tuktu and His Eskimo Dogs 1969,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_385047,"Lament of the Reservation, part III 1970",Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_399068,Tuktu and the Snow Palace 1967,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399062,Tuktu and the Big Seal 1967,Archival materials,Motion pictures (visual works),1960s,North America
